SymName,TotalAmountIn,TotalAmountOut,TotalTrades,profit,return_percent
CRC,51550.38,52232.72,26,682.34,1.323637188
SWBI,103596.06,104963.65,52,1367.59,1.320117773
LYG,65967.13,66836.03,33,868.9,1.317171143
SIRI,97848.71,99128.06,49,1279.35,1.307477636
CRI,107530.37,108933.07,55,1402.7,1.304468682
CME,64672.81,65516.4,34,843.59,1.304396701
ATR,79714.61,80752.67,41,1038.06,1.302220509
RRR,53404.41,54094.99,27,690.58,1.293114183
FINW,49863.6,50506.98,25,643.38,1.290279884
INN,41910.96,42450.22,21,539.26,1.286680143
BWB,51735.02,52399.98,26,664.96,1.285318919
NYT,97061.24,98298.07,49,1236.83,1.274277971
GCMG,63833.69,64642.11,32,808.42,1.266447232
CVCY,125491.39,127077.41,63,1586.02,1.263847663
KAI,56763.24,57478.89,30,715.65,1.260763128
BECN,39373.21,39869.38,20,496.17,1.260171574
ITRN,155216.28,157171.7,78,1955.42,1.259803418
IRWD,103705.63,105010.78,52,1305.15,1.258514123
ITIC,149624.58,151506.17,78,1881.59,1.257540706
FRC,42110.88,42640.05,22,529.17,1.256611118
FBMS,81491.59,82510.77,41,1019.18,1.250656663
TFC,61127.68,61888.1,31,760.42,1.243986358
CHMG,128829.82,130428.46,65,1598.64,1.240892831
FMNB,99668.07,100903.72,50,1235.65,1.239765152
GILD,86505.22,87571.25,44,1066.03,1.232330257
PKG,61714.53,62472.12,32,757.59,1.22757153
ALX,78015.73,78970.47,42,954.74,1.223778846
CRH,55397.94,56072.03,28,674.09,1.216814199
GLBS,149886.06,151687.14,75,1801.08,1.20163276
WU,111474.86,112809.33,56,1334.47,1.197103993
PFHD,69727.84,70562.23,35,834.39,1.196638244
BRKL,47855.91,48420.95,24,565.04,1.180711014
SAIA,62804.05,63545.25,33,741.2,1.180178667
CATY,25715.89,26017.83,13,301.94,1.174137858
ABEV,183849.99,185992.36,92,2142.37,1.165281543
VMW,84966.87,85951.91,44,985.04,1.159322451
JBHT,22922.79,23188.5,12,265.71,1.159152093
HLF,164368.88,166264.86,83,1895.98,1.153490855
JOUT,146955.42,148644.91,75,1689.49,1.149661578
ACEL,79783.5,80700.51,40,917.01,1.149372991
LU,193631.9,195813.05,97,2181.15,1.126441459
CYAN,65958.06,66692.75,33,734.69,1.113874483
OXM,68727.72,69472.03,35,744.31,1.082983693
SGHC,105862.02,107002.08,53,1140.06,1.07693014
CMCSA,63261.07,63939.98,32,678.91,1.073187665
KTB,136577.17,138040.2,69,1463.03,1.071211243
FDX,89236.18,90191.02,47,954.84,1.070014427
PCH,55266.85,55855.77,28,588.92,1.06559357
FHB,55643.91,56234.61,28,590.7,1.061571698
CRWS,49917.99,50447.72,25,529.73,1.061200581
CONN,135426.03,136862.33,68,1436.3,1.060578974
BIG,196419.61,198502.61,99,2083,1.060484745
ABT,32924.96,33269.07,17,344.11,1.045134147
PNC,53799.49,54360.47,28,560.98,1.042723639
EBMT,77627.38,78429.52,39,802.14,1.033320975
WF,43657.62,44108.18,22,450.56,1.032030605
BFST,59628.75,60242.44,30,613.69,1.029184747
TLYS,89799.69,90720.66,45,920.97,1.025582605
IPGP,128915.59,130233.35,67,1317.76,1.02218824
CMA,58758.01,59343.73,30,585.72,0.996834304
BMRC,111136.84,112244.67,56,1107.83,0.996816177
DHR,35750.35,36104.05,19,353.7,0.989360943
PSA-PG,37825.65,38192.94,19,367.29,0.971007769
WY,47553.02,48013.41,24,460.39,0.968161433
IGIC,113796.22,114893.5,57,1097.28,0.964249955
OPFI,141840.47,143206.54,71,1366.07,0.963103126
ZIONP,53781.23,54297.88,27,516.65,0.960651142
CGNX,76700.31,77429.36,39,729.05,0.950517671
SUZ,81805.31,82576.63,41,771.32,0.942872779
ITOS,69518.71,70173.5,35,654.79,0.94189032
UNMA,17853.63,18021.39,9,167.76,0.939640846
HIW,47581.78,48025.96,24,444.18,0.933508582
FHN-PF,23838.52,24060.76,12,222.24,0.932272641
BIPC,64936.01,65540.83,33,604.82,0.931409244
MNDO,91943.36,92795.48,46,852.12,0.92678797
FUN,57233.69,57761.17,29,527.48,0.921625008
BEN,105271.44,106232.27,53,960.83,0.912716687
LPRO,145199.52,146520.4,73,1320.88,0.909699977
WABC,74879.91,75558.68,38,678.77,0.906478119
HELE,94259.74,95112.36,49,852.62,0.904543127
ATUS,161384.88,162841.93,81,1457.05,0.902841704
RCI,83180,83925.12,42,745.12,0.895792258
EXP,36680.05,37006.2,19,326.15,0.889175451
SXT,51030.22,51482.29,26,452.07,0.885886833
GSL,57697.7,58207.07,29,509.37,0.882825485
TKC,151808.83,153142.8,76,1333.97,0.878717002
